id,app,name,applied
1,contenttypes,0001_initial,2026-03-22 18:36:16.774593
2,auth,0001_initial,2026-03-22 18:36:16.809447
3,admin,0001_initial,2026-03-22 18:36:16.836788
4,admin,0002_logentry_remove_auto_add,2026-03-22 18:36:16.861888
5,admin,0003_logentry_add_action_flag_choices,2026-03-22 18:36:16.879698
6,contenttypes,0002_remove_content_type_name,2026-03-22 18:36:16.918198
7,auth,0002_alter_permission_name_max_length,2026-03-22 18:36:16.940261
8,auth,0003_alter_user_email_max_length,2026-03-22 18:36:16.963773
9,auth,0004_alter_user_username_opts,2026-03-22 18:36:16.988751
10,auth,0005_alter_user_last_login_null,2026-03-22 18:36:17.015362
11,auth,0006_require_contenttypes_0002,2026-03-22 18:36:17.022579
12,auth,0007_alter_validators_add_error_messages,2026-03-22 18:36:17.041891
13,auth,0008_alter_user_username_max_length,2026-03-22 18:36:17.065962
14,auth,0009_alter_user_last_name_max_length,2026-03-22 18:36:17.091884
15,auth,0010_alter_group_name_max_length,2026-03-22 18:36:17.152826
16,auth,0011_update_proxy_permissions,2026-03-22 18:36:17.169911
17,auth,0012_alter_user_first_name_max_length,2026-03-22 18:36:17.193817
18,authapp,0001_initial,2026-03-22 18:36:17.217157
19,authapp,0002_userprofile_telegram_chat_id_passwordresetotp,2026-03-22 18:36:17.259597
20,authapp,0003_userprofile_mpin_hash_userprofile_mpin_set_and_more,2026-03-22 18:36:17.312133
21,stocks,0001_initial,2026-03-22 18:36:17.334161
22,portfolio,0001_initial,2026-03-22 18:36:17.392081
23,portfolio,0002_timeseriesforecast,2026-03-22 18:36:17.581112
24,portfolio,0003_growthanalysis_portfoliorating,2026-03-22 18:36:17.679723
25,sessions,0001_initial,2026-03-22 18:36:17.726721
26,token_blacklist,0001_initial,2026-03-22 18:36:17.794288
27,token_blacklist,0002_outstandingtoken_jti_hex,2026-03-22 18:36:17.830986
28,token_blacklist,0003_auto_20171017_2007,2026-03-22 18:36:17.865297
29,token_blacklist,0004_auto_20171017_2013,2026-03-22 18:36:17.891999
30,token_blacklist,0005_remove_outstandingtoken_jti,2026-03-22 18:36:17.929538
31,token_blacklist,0006_auto_20171017_2113,2026-03-22 18:36:17.963630
32,token_blacklist,0007_auto_20171017_2214,2026-03-22 18:36:18.034890
33,token_blacklist,0008_migrate_to_bigautofield,2026-03-22 18:36:18.088839
34,token_blacklist,0010_fix_migrate_to_bigautofield,2026-03-22 18:36:18.135341
35,token_blacklist,0011_linearizes_history,2026-03-22 18:36:18.142162
36,token_blacklist,0012_alter_outstandingtoken_user,2026-03-22 18:36:18.174972
37,token_blacklist,0013_alter_blacklistedtoken_options_and_more,2026-03-22 18:36:18.206936
